z Ux k                  epsilon 
1.000000e+00 0.000000e+00    3.168187e-02  1.143517e-01 
1.009600e+00 2.070000e-01    3.168187e-02  1.143517e-01 
1.019200e+00 2.310000e-01    4.754325e-03  1.061273e-02 
1.030700e+00 3.640000e-01    8.637625e-03  2.701088e-02 
1.042800e+00 4.770000e-01    1.094133e-02  2.558931e-02 
1.055200e+00 5.550000e-01    1.259341e-02  2.057947e-02 
1.067400e+00 6.110000e-01    1.206099e-02  1.497738e-02 
1.079600e+00 6.560000e-01    1.127482e-02  1.011961e-02 
1.091800e+00 6.840000e-01    1.076285e-02  6.748836e-03 
1.104000e+00 7.070000e-01    1.021868e-02  5.573828e-03 
1.116000e+00 7.280000e-01    9.786740e-03  4.110431e-03 
1.129000e+00 7.420000e-01    9.089460e-03  2.726838e-03 
1.141000e+00 7.530000e-01    8.912785e-03  2.673835e-03 
1.153000e+00 7.660000e-01    8.646525e-03  2.161631e-03 
1.165000e+00 7.730000e-01    8.598685e-03  1.857316e-03 
1.178000e+00 7.840000e-01    8.112245e-03  1.849592e-03 
1.190000e+00 7.920000e-01    7.945320e-03  1.191798e-03 
1.202000e+00 7.960000e-01    7.618885e-03  1.238069e-03 
1.214000e+00 8.050000e-01    7.541905e-03  1.508381e-03 
1.226000e+00 8.120000e-01    7.529390e-03  1.355290e-03 
1.239000e+00 8.200000e-01    7.021170e-03  1.179557e-03 
1.251000e+00 8.260000e-01    7.188545e-03  1.168139e-03 
1.263000e+00 8.330000e-01    6.913725e-03  9.506372e-04 
1.275000e+00 8.370000e-01    6.904805e-03  6.628613e-04 
1.288000e+00 8.410000e-01    6.646525e-03  9.570996e-04 
1.300000e+00 8.490000e-01    6.378570e-03  8.770534e-04 
1.312000e+00 8.520000e-01    6.448650e-03  8.866894e-04 
1.324000e+00 8.600000e-01    6.230430e-03  1.121477e-03 
1.337000e+00 8.670000e-01    6.071350e-03  5.828496e-04 
1.349000e+00 8.680000e-01    6.013485e-03  3.006742e-04 
1.361000e+00 8.710000e-01    5.871095e-03  8.072756e-04 
1.373000e+00 8.790000e-01    5.604455e-03  7.005569e-04 
1.385000e+00 8.810000e-01    5.462020e-03  5.243539e-04 
1.398000e+00 8.870000e-01    5.537695e-03  7.309757e-04 
1.410000e+00 8.920000e-01    5.478030e-03  6.162784e-04 
1.422000e+00 8.960000e-01    5.391220e-03  4.043415e-04 
1.434000e+00 8.980000e-01    5.178745e-03  2.485798e-04 
1.447000e+00 9.000000e-01    5.173310e-03  3.724783e-04 
1.459000e+00 9.040000e-01    5.060585e-03  6.958304e-04 
1.471000e+00 9.110000e-01    4.814210e-03  7.221315e-04 
1.483000e+00 9.160000e-01    4.833270e-03  3.479954e-04 
1.496000e+00 9.170000e-01    4.784845e-03  2.296726e-04 
1.508000e+00 9.200000e-01    4.521025e-03  5.086153e-04 
1.520000e+00 9.260000e-01    4.517125e-03  5.420550e-04 
1.533000e+00 9.300000e-01    4.457805e-03  2.674683e-04 
1.545000e+00 9.310000e-01    4.483445e-03  3.362584e-04 
1.557000e+00 9.360000e-01    4.327045e-03  4.327045e-04 
1.569000e+00 9.390000e-01    4.232020e-03  2.116010e-04 
1.581000e+00 9.400000e-01    4.111110e-03  2.466666e-04 
1.594000e+00 9.440000e-01    4.102510e-03  2.953807e-04 
1.606000e+00 9.460000e-01    4.025765e-03  3.522544e-04 
1.618000e+00 9.510000e-01    3.827335e-03  4.305752e-04 
1.630000e+00 9.550000e-01    3.740260e-03  2.692987e-04 
1.643000e+00 9.570000e-01    3.706970e-03  1.779346e-04 
1.655000e+00 9.590000e-01    3.620810e-03  2.263006e-04 
1.667000e+00 9.620000e-01    3.655240e-03  3.198335e-04 
