#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
2.44E-02 1.02E+00 189 1.04E-01 1.70E-02 3.32E-02
2.44E-02 1.04E+00 443 1.36E-01 2.67E-02 5.06E-02
2.44E-02 1.06E+00 537 1.25E-01 2.98E-02 6.09E-02
2.44E-02 1.09E+00 516 1.10E-01 3.74E-02 5.88E-02
2.44E-02 1.11E+00 430 1.06E-01 4.41E-02 6.14E-02
2.44E-02 1.14E+00 426 1.02E-01 4.72E-02 6.10E-02
2.44E-02 1.16E+00 376 1.04E-01 5.23E-02 6.12E-02
2.44E-02 1.19E+00 369 9.77E-02 5.47E-02 6.28E-02
2.44E-02 1.21E+00 344 9.44E-02 5.10E-02 6.44E-02
2.44E-02 1.23E+00 355 9.99E-02 5.62E-02 6.17E-02
2.44E-02 1.26E+00 414 8.19E-02 4.97E-02 6.12E-02
2.44E-02 1.28E+00 440 8.43E-02 5.09E-02 6.17E-02
2.44E-02 1.31E+00 505 8.06E-02 4.98E-02 5.69E-02
2.44E-02 1.33E+00 550 7.80E-02 4.89E-02 5.66E-02
2.44E-02 1.36E+00 603 7.61E-02 4.86E-02 5.51E-02
2.44E-02 1.38E+00 624 7.57E-02 4.69E-02 5.50E-02
2.44E-02 1.41E+00 654 7.29E-02 4.72E-02 5.20E-02
2.44E-02 1.43E+00 702 7.03E-02 4.49E-02 5.10E-02
2.44E-02 1.45E+00 749 7.12E-02 4.48E-02 5.22E-02
2.44E-02 1.48E+00 748 6.90E-02 4.49E-02 5.17E-02
2.44E-02 1.50E+00 721 6.67E-02 4.47E-02 5.06E-02
2.44E-02 1.53E+00 712 6.73E-02 4.48E-02 4.95E-02
2.44E-02 1.55E+00 752 6.40E-02 4.18E-02 4.76E-02
2.44E-02 1.58E+00 676 6.23E-02 4.35E-02 4.69E-02
2.44E-02 1.60E+00 698 6.14E-02 4.30E-02 4.51E-02
2.44E-02 1.63E+00 715 5.89E-02 4.06E-02 4.59E-02
2.44E-02 1.65E+00 716 5.91E-02 3.88E-02 4.41E-02
2.44E-02 1.67E+00 704 5.73E-02 4.19E-02 4.43E-02
2.44E-02 1.70E+00 768 5.58E-02 4.14E-02 4.25E-02
2.44E-02 1.72E+00 701 5.56E-02 3.89E-02 4.07E-02
2.44E-02 1.75E+00 627 4.86E-02 3.80E-02 3.72E-02
2.44E-02 1.77E+00 687 5.33E-02 4.00E-02 4.05E-02
2.44E-02 1.80E+00 669 5.51E-02 3.80E-02 3.95E-02
2.44E-02 1.82E+00 719 4.93E-02 3.69E-02 3.81E-02
2.44E-02 1.85E+00 664 4.96E-02 3.59E-02 3.80E-02
2.44E-02 1.87E+00 689 4.53E-02 3.64E-02 3.62E-02
2.44E-02 1.89E+00 673 4.78E-02 3.93E-02 3.70E-02
2.44E-02 1.92E+00 627 4.68E-02 3.87E-02 3.61E-02
2.44E-02 1.94E+00 664 4.81E-02 3.84E-02 3.79E-02
2.44E-02 1.97E+00 648 4.15E-02 3.70E-02 3.41E-02
2.44E-02 1.99E+00 641 4.40E-02 3.70E-02 3.69E-02
2.44E-02 2.02E+00 615 4.93E-02 3.75E-02 3.75E-02
2.44E-02 2.04E+00 568 4.55E-02 3.92E-02 3.62E-02
2.44E-02 2.07E+00 623 4.51E-02 3.88E-02 3.68E-02
2.44E-02 2.09E+00 618 4.63E-02 3.49E-02 3.66E-02
2.44E-02 2.12E+00 569 4.87E-02 3.84E-02 3.74E-02
2.44E-02 2.14E+00 597 5.05E-02 3.86E-02 3.77E-02
2.44E-02 2.16E+00 550 4.93E-02 4.01E-02 3.71E-02
2.44E-02 2.19E+00 596 4.93E-02 4.15E-02 3.92E-02
2.44E-02 2.21E+00 571 5.05E-02 3.91E-02 3.80E-02
2.44E-02 2.24E+00 565 5.59E-02 4.22E-02 4.23E-02
2.44E-02 2.26E+00 559 5.79E-02 4.00E-02 4.29E-02
2.44E-02 2.29E+00 595 5.87E-02 4.36E-02 4.21E-02
2.44E-02 2.31E+00 567 5.56E-02 4.11E-02 4.70E-02
2.44E-02 2.34E+00 576 6.07E-02 4.42E-02 4.54E-02
2.44E-02 2.36E+00 604 5.91E-02 4.46E-02 4.49E-02
2.44E-02 2.38E+00 607 6.21E-02 4.36E-02 4.61E-02
2.44E-02 2.41E+00 645 6.51E-02 4.30E-02 4.77E-02
2.44E-02 2.43E+00 577 6.45E-02 4.53E-02 4.98E-02
2.44E-02 2.46E+00 624 6.80E-02 4.43E-02 4.80E-02
2.44E-02 2.48E+00 600 6.58E-02 4.48E-02 5.15E-02
2.44E-02 2.51E+00 627 7.04E-02 4.82E-02 5.55E-02
2.44E-02 2.53E+00 647 6.91E-02 4.69E-02 5.31E-02
2.44E-02 2.55E+00 706 7.43E-02 5.00E-02 5.37E-02
2.44E-02 2.58E+00 661 7.21E-02 4.86E-02 5.61E-02
2.44E-02 2.60E+00 716 7.16E-02 4.76E-02 5.83E-02
2.44E-02 2.63E+00 678 7.48E-02 4.88E-02 5.58E-02
2.44E-02 2.65E+00 698 8.05E-02 5.08E-02 5.93E-02
2.44E-02 2.68E+00 702 8.29E-02 4.73E-02 5.99E-02
2.44E-02 2.70E+00 720 8.04E-02 4.93E-02 5.87E-02
2.44E-02 2.73E+00 788 8.82E-02 5.31E-02 6.15E-02
2.44E-02 2.75E+00 686 8.45E-02 5.08E-02 6.14E-02
2.44E-02 2.78E+00 764 9.02E-02 5.19E-02 6.39E-02
2.44E-02 2.80E+00 739 9.46E-02 4.75E-02 6.98E-02
2.44E-02 2.82E+00 736 1.06E-01 4.73E-02 6.56E-02
2.44E-02 2.85E+00 738 1.09E-01 4.89E-02 6.73E-02
2.44E-02 2.87E+00 734 1.16E-01 4.12E-02 6.42E-02
2.44E-02 2.90E+00 710 1.28E-01 3.50E-02 6.18E-02
2.44E-02 2.92E+00 721 1.43E-01 2.71E-02 6.09E-02
2.44E-02 2.95E+00 689 1.29E-01 1.59E-02 4.56E-02
2.44E-02 2.96E+00 195 8.67E-02 9.23E-03 3.16E-02


#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
1.00E+00 1.70E-02 3 5.10E-10 4.01E-09 1.00E-09
1.00E+00 4.13E-02 128 1.71E-02 1.10E-02 2.23E-02
1.00E+00 6.09E-02 207 3.06E-02 1.46E-02 2.82E-02
1.00E+00 8.49E-02 208 3.79E-02 1.70E-02 3.92E-02
1.00E+00 1.12E-01 254 3.58E-02 2.07E-02 4.21E-02
1.00E+00 1.34E-01 205 5.10E-02 2.67E-02 4.73E-02
1.00E+00 1.60E-01 203 4.98E-02 2.81E-02 5.03E-02
1.00E+00 1.83E-01 277 4.38E-02 2.43E-02 5.13E-02
1.00E+00 2.07E-01 299 5.29E-02 2.83E-02 5.17E-02
1.00E+00 2.33E-01 277 4.89E-02 2.86E-02 4.37E-02
1.00E+00 2.56E-01 298 5.08E-02 3.08E-02 4.84E-02
1.00E+00 2.81E-01 286 4.96E-02 3.03E-02 4.59E-02
1.00E+00 3.05E-01 304 5.62E-02 3.16E-02 4.17E-02
1.00E+00 3.31E-01 309 6.29E-02 3.03E-02 4.84E-02
1.00E+00 3.55E-01 397 5.18E-02 3.12E-02 4.81E-02
1.00E+00 3.78E-01 307 6.48E-02 3.30E-02 4.87E-02
1.00E+00 4.04E-01 350 5.85E-02 3.21E-02 4.26E-02
1.00E+00 4.29E-01 455 6.25E-02 3.17E-02 5.11E-02
1.00E+00 4.52E-01 424 5.92E-02 3.68E-02 4.75E-02
1.00E+00 4.76E-01 426 6.05E-02 3.77E-02 4.74E-02
1.00E+00 5.02E-01 379 6.66E-02 3.81E-02 4.57E-02
1.00E+00 5.25E-01 389 5.93E-02 3.67E-02 5.27E-02
1.00E+00 5.50E-01 376 6.16E-02 3.37E-02 4.96E-02
1.00E+00 5.75E-01 450 6.26E-02 3.48E-02 4.97E-02
1.00E+00 5.99E-01 417 6.48E-02 3.52E-02 4.80E-02
1.00E+00 6.23E-01 422 6.16E-02 3.66E-02 5.29E-02
